Longitude,Latitude,Name of Enterprise / Group,Ownership and Legal Structure,Primary Contact Person,Position / Role,Phone Number,Physical Street Address / Landmark,E-mail Address,Operational Status, TIN, BRELA Registration Number,1.7 TBS / ZFDA Registration Number,SIDO Registration Number, Operational Scale Classification,Primary Raw Materials Sourced and Used,Primary Sourcing Channels,Months of Severe Shortage / Price Spikes,Estimated Post-Harvest Loss (%),Raw Material Storage Capacity,Storage Capacity Unit, Main Storage Challenges, Nutrient-Dense Crops / Ingredients Cultivated or Harvested, Total Area / Harvest Scale, Area / Harvest Unit,Average Yield per Harvest / Season,Yield Unit, Harvest Cycles per Year,Proximity to Major Road (km),Proximity to Market (km),Accessibility Status,Infrastructure Status,Sanitary Status,Data Status
39.147812,-6.624487,Jitihada Mazao Group,Registered Farmer Association,Mariam Magesa,Production Manager,700000010,"Near Bunju Market, Bunju, Dar es Salaam",jitihada.mazao.group@example.invalid,Active (Operating year-round),TIN-011,BRELA-011,Not registered,Not applicable,Micro-enterprise (< 5 employees),Soybeans; Maize,Open-Air Public / Wholesale Markets; Contracted Smallholder Farmers / Outgrowers,Feb; Oct; Apr,22.4,9.4,Tons,Moisture/Humidity; Lack of Cold Storage,Edible Seaweed; Orange-Fleshed Sweet Potatoes (OFSP); Small Pelagic Fish (Dagaa) / Freshwater Fish,2.4,Acres,38,100kg Bags,Year-round,3.81,0.55,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.081073,-6.768117,Tumaini Dagaa Processors,Youth Cooperative (Majority owners aged 18–35),Asha Mwakalinga,Farm Supervisor,700000011,"Near Kimara Mwisho Bus Stand, Kimara, Dar es Salaam",tumaini.dagaa.processors@example.invalid,Active (Operating year-round),TIN-012,BRELA-012,Not registered,SIDO-012,Medium-scale (50–99 employees),Sorghum / Finger Millet; Milk / Dairy Products,Commercial Aggregators / Middlemen,Nov; Mar; Dec,5.1,2.6,Tons,Moisture/Humidity; Insect Pests,Edible Seaweed,3,Number of Boats (for Dagaa),9.6,Tons,1 Season,4.69,6.32,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.503071,-6.994742,Kijani Lishe Enterprise,Medium-Scale Commercial Enterprise,Neema Mollel,Operations Coordinator,700000012,"Near Kimbiji Market, Kimbiji, Dar es Salaam",kijani.lishe.enterprise@example.invalid,Active (Operating year-round),TIN-013,BRELA-013,Not registered,SIDO-013,Medium-scale (50–99 employees),Whole Eggs / Powdered Eggs; Sorghum / Finger Millet; Soybeans; Milk / Dairy Products,Contracted Smallholder Farmers / Outgrowers,Oct; Aug,8.9,156,Bags,Moisture/Humidity; Insect Pests,Orange-Fleshed Sweet Potatoes (OFSP); Bambara Groundnuts / Soybeans; High-Iron and Zinc Beans,7.8,Hectares,4,100kg Bags,Year-round,4.44,1.97,Low Accessibility,High,Moderate,HYPOTHETICAL / TESTING DATA
39.442081,-6.928327,Baraka Fortified Foods,Women-Led Cooperative,Daudi Mwakipesile,Owner-Manager,700000013,"Near Kisarawe II Market, Kigamboni, Dar es Salaam",baraka.fortified.foods@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-014,BRELA-014,Not registered,Not applicable,Micro-enterprise (< 5 employees),Edible Seaweeds; High-Iron and Zinc Beans,Own Farm / Direct Harvesting; Commercial Aggregators / Middlemen; Contracted Smallholder Farmers / Outgrowers,Dec,10.4,178,Bags,None; Moisture/Humidity,Edible Seaweed; Small Pelagic Fish (Dagaa) / Freshwater Fish; Bambara Groundnuts / Soybeans,11.2,Hectares,172,Kg,2 Seasons,3.68,3.8,Low Accessibility,High,Moderate,HYPOTHETICAL / TESTING DATA
39.31483,-6.831998,Mshikamano Women Producers,Registered Farmer Association,Hassan Mwijage,Owner-Manager,700000014,"Near Kigamboni Ferry Terminal, Kigamboni, Dar es Salaam",mshikamano.women.producers@example.invalid,Active (Operating year-round),TIN-015,BRELA-015,Not registered,Not applicable,Micro-enterprise (< 5 employees),Whole Eggs / Powdered Eggs; Sorghum / Finger Millet; Small Pelagic Fish (Dagaa / Omena),Open-Air Public / Wholesale Markets; Commercial Aggregators / Middlemen,Jun; Feb,18.9,14.3,Tons,Insect Pests,Bambara Groundnuts / Soybeans,9.5,Hectares,9.1,Tons,Year-round,4.58,4.88,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.523658,-7.089516,Vijana Hodari Agro Group,Medium-Scale Commercial Enterprise,Hassan Nassoro,Production Manager,700000015,"Near Kimbiji Market, Kimbiji, Dar es Salaam",vijana.hodari.agro.group@example.invalid,Active (Operating year-round),TIN-016,BRELA-016,Not registered,Not applicable,Small-scale (5–49 employees),Cassava / Banana / Plantain; Maize,Open-Air Public / Wholesale Markets; Contracted Smallholder Farmers / Outgrowers; Commercial Aggregators / Middlemen,Jul; May; Feb,15.4,74,Bags,Mold/Aflatoxins; Insect Pests,Small Pelagic Fish (Dagaa) / Freshwater Fish; Orange-Fleshed Sweet Potatoes (OFSP),2,Number of Boats (for Dagaa),56,100kg Bags,Year-round,4.52,4.34,Low Accessibility,High,Low,HYPOTHETICAL / TESTING DATA
39.273726,-6.805009,Bahari Nutri Harvesters,Registered Farmer Association,Emmanuel Mnyika,Owner-Manager,700000016,"Near Kisutu Market, City Centre, Dar es Salaam",bahari.nutri.harvesters@example.invalid,Active (Operating year-round),TIN-017,BRELA-017,Not registered,Not applicable,Medium-scale (50–99 employees),High-Iron and Zinc Beans; Milk / Dairy Products; Cassava / Banana / Plantain; Soybeans,Contracted Smallholder Farmers / Outgrowers; Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets,Feb; Jan; May,17,88,Bags,Mold/Aflatoxins; Lack of Cold Storage,Small Pelagic Fish (Dagaa) / Freshwater Fish; Bambara Groundnuts / Soybeans; High-Iron and Zinc Beans,6.6,Acres,13,100kg Bags,2 Seasons,0.63,8.78,Low Accessibility,Moderate,Moderate,HYPOTHETICAL / TESTING DATA
39.459924,-6.905425,Maendeleo Food Solutions,Youth Cooperative (Majority owners aged 18–35),Joseph Mushi,Operations Coordinator,700000017,"Near Kisarawe II Market, Kigamboni, Dar es Salaam",maendeleo.food.solutions@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-018,BRELA-018,Not registered,Not applicable,Small-scale (5–49 employees),Sorghum / Finger Millet; Soybeans; Whole Eggs / Powdered Eggs,Commercial Aggregators / Middlemen; Open-Air Public / Wholesale Markets; Contracted Smallholder Farmers / Outgrowers,Aug,14,15.1,Tons,Insect Pests,Small Pelagic Fish (Dagaa) / Freshwater Fish; Edible Seaweed; Bambara Groundnuts / Soybeans,8,Number of Boats (for Dagaa),1568,Kg,2 Seasons,4.06,8.08,Low Accessibility,Low,Moderate,HYPOTHETICAL / TESTING DATA
39.085904,-7.054748,Umoja First Foods Group,Women-Led Cooperative,Halima Nassoro,Owner-Manager,700000018,"Near Msongola Market, Msongola, Dar es Salaam",umoja.first.foods.group@example.invalid,Active (Operating year-round),TIN-019,BRELA-019,Not registered,Not applicable,Small-scale (5–49 employees),High-Iron and Zinc Beans; Milk / Dairy Products; Groundnuts / Bambara Groundnuts,Own Farm / Direct Harvesting; Contracted Smallholder Farmers / Outgrowers,Dec,15.8,7.4,Tons,Moisture/Humidity; Mold/Aflatoxins,High-Iron and Zinc Beans,2,Number of Boats (for Dagaa),3.1,Tons,Year-round,4.74,8.88,Low Accessibility,Low,Low,HYPOTHETICAL / TESTING DATA
39.170551,-6.810376,Malkia Lishe Cooperative,Medium-Scale Commercial Enterprise,Mariam Sanga,Secretary,700000019,"Near Mabibo Market, Mabibo, Dar es Salaam",malkia.lishe.cooperative@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-020,BRELA-020,Not registered,SIDO-020,Small-scale (5–49 employees),Small Pelagic Fish (Dagaa / Omena); Cassava / Banana / Plantain,Open-Air Public / Wholesale Markets; Own Farm / Direct Harvesting; Contracted Smallholder Farmers / Outgrowers,Oct; May,12.9,23,Bags,Mold/Aflatoxins; None,Bambara Groundnuts / Soybeans; Edible Seaweed; Orange-Fleshed Sweet Potatoes (OFSP),7,Number of Boats (for Dagaa),3173,Kg,2 Seasons,2.29,4.59,Moderately Accessible,Low,Low,HYPOTHETICAL / TESTING DATA
39.103976,-6.990017,Nguvu Kazi Agro Foods,Youth Cooperative (Majority owners aged 18–35),Baraka Sanga,Owner-Manager,700000020,"Near Pugu Kajiungeni Market, Pugu, Dar es Salaam",nguvu.kazi.agro.foods@example.invalid,Active (Operating year-round),TIN-021,BRELA-021,Not registered,SIDO-021,Medium-scale (50–99 employees),Edible Seaweeds; Orange-Fleshed Sweet Potatoes (OFSP); Soybeans; Small Pelagic Fish (Dagaa / Omena),Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets; Commercial Aggregators / Middlemen,Jan,23.1,46,Bags,Lack of Cold Storage,Edible Seaweed; Orange-Fleshed Sweet Potatoes (OFSP); Small Pelagic Fish (Dagaa) / Freshwater Fish,2,Number of Boats (for Dagaa),10.7,Tons,2 Seasons,4.1,3.83,Low Accessibility,High,Moderate,HYPOTHETICAL / TESTING DATA
39.14947,-6.959536,Dar NutriBlend Enterprise,Youth Cooperative (Majority owners aged 18–35),Hassan Mushi,Secretary,700000021,"Near Gongo la Mboto Bus Stand, Gongo la Mboto, Dar es Salaam",dar.nutriblend.enterprise@example.invalid,Active (Operating year-round),TIN-022,BRELA-022,Not registered,Not applicable,Medium-scale (50–99 employees),Sorghum / Finger Millet; Orange-Fleshed Sweet Potatoes (OFSP); Edible Seaweeds; Milk / Dairy Products,Contracted Smallholder Farmers / Outgrowers; Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets,Aug,5.5,41,Bags,Mold/Aflatoxins; Lack of Cold Storage,Orange-Fleshed Sweet Potatoes (OFSP),3,Acres,72,100kg Bags,1 Season,4.78,8.98,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.274387,-6.872797,Kisima Cha Afya Foods,Women-Led Cooperative,Emmanuel Nassoro,Secretary,700000022,"Near Quality Centre Mall, Nyerere Road, Dar es Salaam",kisima.cha.afya.foods@example.invalid,Active (Operating year-round),TIN-023,BRELA-023,Not registered,Not applicable,Medium-scale (50–99 employees),Small Pelagic Fish (Dagaa / Omena); Soybeans; Groundnuts / Bambara Groundnuts; Cassava / Banana / Plantain,Own Farm / Direct Harvesting; Commercial Aggregators / Middlemen; Open-Air Public / Wholesale Markets,Nov; Jul; Sep,13.2,3.1,Tons,Lack of Cold Storage; Mold/Aflatoxins,Edible Seaweed; High-Iron and Zinc Beans; Orange-Fleshed Sweet Potatoes (OFSP),7.1,Hectares,7.7,Tons,2 Seasons,3.72,2.73,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.375745,-6.939694,Jua Kali Grain Processors,Registered Farmer Association,Juma Magesa,Owner-Manager,700000023,"Near Kibada Market / Bus Stand, Kibada, Dar es Salaam",jua.kali.grain.processors@example.invalid,Active (Operating year-round),TIN-024,BRELA-024,Not registered,Not applicable,Medium-scale (50–99 employees),Whole Eggs / Powdered Eggs; Edible Seaweeds,Commercial Aggregators / Middlemen,Feb; Jan,15.2,97,Bags,None; Lack of Cold Storage,High-Iron and Zinc Beans; Bambara Groundnuts / Soybeans; Orange-Fleshed Sweet Potatoes (OFSP),2,Number of Boats (for Dagaa),1624,Kg,1 Season,3.47,0.45,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.454172,-6.894682,Neema Biofortified Foods,Registered Farmer Association,Joyce Mtemi,Farm Supervisor,700000024,"Near Kisarawe II Market, Kigamboni, Dar es Salaam",neema.biofortified.foods@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-025,BRELA-025,Not registered,Not applicable,Micro-enterprise (< 5 employees),High-Iron and Zinc Beans; Groundnuts / Bambara Groundnuts; Milk / Dairy Products; Small Pelagic Fish (Dagaa / Omena),Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets; Commercial Aggregators / Middlemen,Jun; Apr; Oct,6.1,148,Bags,Mold/Aflatoxins; None,Small Pelagic Fish (Dagaa) / Freshwater Fish; High-Iron and Zinc Beans; Edible Seaweed,6,Acres,7.8,Tons,2 Seasons,2.22,8.89,Low Accessibility,High,Low,HYPOTHETICAL / TESTING DATA
39.469987,-6.924928,Kipepeo Nutrition Group,Registered Farmer Association,Mariam Mollel,Secretary,700000025,"Near Kisarawe II Market, Kigamboni, Dar es Salaam",kipepeo.nutrition.group@example.invalid,Active (Operating year-round),TIN-026,BRELA-026,Not registered,Not applicable,Micro-enterprise (< 5 employees),Groundnuts / Bambara Groundnuts; Sorghum / Finger Millet; Soybeans,Commercial Aggregators / Middlemen; Contracted Smallholder Farmers / Outgrowers; Open-Air Public / Wholesale Markets,Jul; Jan; Oct,21.7,16.2,Tons,Insect Pests,Edible Seaweed; Orange-Fleshed Sweet Potatoes (OFSP),2,Number of Boats (for Dagaa),2753,Kg,2 Seasons,2.79,6.95,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.458196,-6.976049,Tegemeo Small Producers,Registered Farmer Association,Daudi Mwijage,Production Manager,700000026,"Near Kisarawe II Market, Kigamboni, Dar es Salaam",tegemeo.small.producers@example.invalid,Active (Operating year-round),TIN-027,BRELA-027,Not registered,Not applicable,Micro-enterprise (< 5 employees),Orange-Fleshed Sweet Potatoes (OFSP); Groundnuts / Bambara Groundnuts; Whole Eggs / Powdered Eggs; Small Pelagic Fish (Dagaa / Omena),Commercial Aggregators / Middlemen; Own Farm / Direct Harvesting; Open-Air Public / Wholesale Markets,Aug; Feb; May,23.9,16.7,Tons,Insect Pests,Orange-Fleshed Sweet Potatoes (OFSP),6,Number of Boats (for Dagaa),9.7,Tons,Year-round,2.75,2.37,Moderately Accessible,Low,Moderate,HYPOTHETICAL / TESTING DATA
39.076348,-6.808348,Furaha Family Foods,Women-Led Cooperative,Neema Mtemi,Group Chairperson,700000027,"Near Magufuli Bus Terminal, Mbezi Luis, Dar es Salaam",furaha.family.foods@example.invalid,Active (Operating year-round),TIN-028,BRELA-028,Not registered,SIDO-028,Micro-enterprise (< 5 employees),High-Iron and Zinc Beans; Sorghum / Finger Millet; Groundnuts / Bambara Groundnuts; Whole Eggs / Powdered Eggs,Commercial Aggregators / Middlemen; Own Farm / Direct Harvesting; Contracted Smallholder Farmers / Outgrowers,Jun,23.2,13,Tons,Lack of Cold Storage; Insect Pests,High-Iron and Zinc Beans; Bambara Groundnuts / Soybeans,10,Hectares,149,Kg,1 Season,0.97,7.9,Low Accessibility,High,Low,HYPOTHETICAL / TESTING DATA
39.096865,-6.859003,Mkombozi Agro Processors,Women-Led Cooperative,Emmanuel Kweka,Owner-Manager,700000028,"Near Pugu Station, Pugu, Dar es Salaam",mkombozi.agro.processors@example.invalid,Seasonal (Operating only during harvest/raw material availability),TIN-029,BRELA-029,Not registered,Not applicable,Medium-scale (50–99 employees),Orange-Fleshed Sweet Potatoes (OFSP); Whole Eggs / Powdered Eggs,Contracted Smallholder Farmers / Outgrowers,May; Aug; Jul,6.2,106,Bags,None; Moisture/Humidity,Bambara Groundnuts / Soybeans,2,Number of Boats (for Dagaa),42,100kg Bags,Year-round,1.17,7.31,Low Accessibility,High,Low,HYPOTHETICAL / TESTING DATA
39.104046,-6.631636,Amani Nutrient Foods,Private Micro-Processing Enterprise,Halima Mwakalinga,Operations Coordinator,700000029,"Near Bunju Market, Bunju, Dar es Salaam",amani.nutrient.foods@example.invalid,Active (Operating year-round),TIN-030,BRELA-030,Not registered,Not applicable,Small-scale (5–49 employees),Soybeans; Small Pelagic Fish (Dagaa / Omena),Open-Air Public / Wholesale Markets; Commercial Aggregators / Middlemen,Apr,25.6,45,Bags,Insect Pests,Bambara Groundnuts / Soybeans; Orange-Fleshed Sweet Potatoes (OFSP),4,Hectares,8.2,Tons,1 Season,4.8,6.89,Low Accessibility,High,High,HYPOTHETICAL / TESTING DATA
39.122096,-6.837183,Pamoja Harvest Group,Registered Farmer Association,Rehema Mwakalinga,Production Manager,700000030,"Near Kinyerezi Bus Stand, Kinyerezi, Dar es Salaam",pamoja.harvest.group@example.invalid,Active (Operating year-round),TIN-031,BRELA-031,Not registered,SIDO-031,Micro-enterprise (< 5 employees),Edible Seaweeds; Maize,Contracted Smallholder Farmers / Outgrowers; Open-Air Public / Wholesale Markets; Own Farm / Direct Harvesting,Mar; May; Apr,17.9,3.6,Tons,Moisture/Humidity,Orange-Fleshed Sweet Potatoes (OFSP),10.8,Acres,2205,Kg,2 Seasons,3.03,2.07,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.47332,-6.939317,Kiboko Fish and Grain Foods,Youth Cooperative (Majority owners aged 18–35),Joseph Mushi,Secretary,700000031,"Near Kisarawe II Market, Kigamboni, Dar es Salaam",kiboko.fish.and.grain.foods@example.invalid,Active (Operating year-round),TIN-032,BRELA-032,Not registered,SIDO-032,Medium-scale (50–99 employees),Whole Eggs / Powdered Eggs; Soybeans; Cassava / Banana / Plantain; Edible Seaweeds,Contracted Smallholder Farmers / Outgrowers,Dec; Nov; Aug,9.8,7.8,Tons,Mold/Aflatoxins; Insect Pests,Bambara Groundnuts / Soybeans,4.5,Hectares,1635,Kg,Year-round,2.46,5.04,Low Accessibility,Moderate,High,HYPOTHETICAL / TESTING DATA
39.095878,-6.688096,Mwanzo Bora Producers,Youth Cooperative (Majority owners aged 18–35),Baraka Msuya,Group Chairperson,700000032,"Near Wazo Hill Cement Junction, Wazo, Dar es Salaam",mwanzo.bora.producers@example.invalid,Active (Operating year-round),TIN-033,BRELA-033,Not registered,Not applicable,Micro-enterprise (< 5 employees),Edible Seaweeds; Sorghum / Finger Millet; Whole Eggs / Powdered Eggs,Open-Air Public / Wholesale Markets; Contracted Smallholder Farmers / Outgrowers,Sep,8.1,101,Bags,Moisture/Humidity; Insect Pests,Bambara Groundnuts / Soybeans; Small Pelagic Fish (Dagaa) / Freshwater Fish; Edible Seaweed,7.2,Hectares,37,100kg Bags,1 Season,3.57,7.92,Low Accessibility,Low,High,HYPOTHETICAL / TESTING DATA
39.194492,-6.952632,Tunu Lishe Products,Medium-Scale Commercial Enterprise,Ramadhani Mnyika,Farm Supervisor,700000033,"Near Chanika Bus Stand, Chanika, Dar es Salaam",tunu.lishe.products@example.invalid,Active (Operating year-round),TIN-034,BRELA-034,Not registered,Not applicable,Medium-scale (50–99 employees),Cassava / Banana / Plantain; Groundnuts / Bambara Groundnuts; Sorghum / Finger Millet; Edible Seaweeds,Contracted Smallholder Farmers / Outgrowers; Commercial Aggregators / Middlemen,Aug; Apr; Sep,16.7,127,Bags,Lack of Cold Storage; Mold/Aflatoxins,Edible Seaweed; Orange-Fleshed Sweet Potatoes (OFSP),7.4,Hectares,2.5,Tons,2 Seasons,4.72,6.98,Low Accessibility,Low,Moderate,HYPOTHETICAL / TESTING DATA
39.174281,-6.908052,Nyota Njema Agro Foods,Youth Cooperative (Majority owners aged 18–35),Juma Nassoro,Secretary,700000034,"Near Gongo la Mboto Bus Stand, Gongo la Mboto, Dar es Salaam",nyota.njema.agro.foods@example.invalid,Active (Operating year-round),TIN-035,BRELA-035,Not registered,Not applicable,Medium-scale (50–99 employees),Whole Eggs / Powdered Eggs; Cassava / Banana / Plantain; Soybeans; Small Pelagic Fish (Dagaa / Omena),Contracted Smallholder Farmers / Outgrowers; Commercial Aggregators / Middlemen; Open-Air Public / Wholesale Markets,Jun; Aug,7.1,10.7,Tons,Moisture/Humidity,Orange-Fleshed Sweet Potatoes (OFSP),5.1,Hectares,1440,Kg,2 Seasons,3.81,8.98,Low Accessibility,High,Moderate,HYPOTHETICAL / TESTING DATA
